Product_price,shipping_price,Discount,Serial_number
284,0,0,0
429,0,0,1
799,0,0,2
295,0,0,3
299,0,0,4
628,0,0,5
639,0,0,6
219,0,0,7
769,0,0,8
769,0,0,9
849,0,0,10
609,0,0,11
2299,0,0,12
1099,0,0,13
169,0,0,14
599,0,0,15
2249,0,0,16
299,399,0,17
1029,0,0,18
949,0,0,19
849,0,0,20
549,0,0,21
999,1023,0,22
220,0,0,23
1949,1063,0,24
759,0,0,25
199,0,0,26
179,499,0,27
1029,0,0,28
279,0,0,29
539,0,0,30
379,0,0,31
679,0,0,32
1929,0,0,33
299,399,0,34
2599,0,0,35
379,0,0,36
279,0,0,37
934,1499,0,38
549,0,0,39
1039,0,0,40
949,0,0,41
599,0,0,42
1099,0,0,43
1099,0,0,44
599,0,0,45
1224,0,0,46
839,0,0,47
1088,0,0,48
1959,0,0,49
319,0,0,50
1149,0,0,51
1369,0,0,52
619,0,0,53
284,0,0,54
614,0,0,55
1149,0,0,56
1099,0,0,57
589,0,0,58
629,0,0,59
